Brand,Model,Variant,CC,Fuel_Type,Price_in_lakh,Transmission,Mileage_kmpl/kmkg(cng),Bhp,Rating,Value_Score
Maruti Suzuki,Fronx,Sigma 1.2L MT,1197,Petrol,7.54,Manual,21.79,89,4.5,257.2029178
Maruti Suzuki,Fronx,Delta 1.2L MT,1197,Petrol,8.4,Manual,21.79,89,4.5,230.8702381
Maruti Suzuki,Fronx,Sigma 1.2 CNG,1197,CNG,8.49,Manual,28.51,76,4.5,255.213192
Maruti Suzuki,Fronx,Delta Plus 1.2L MT,1197,Petrol,8.8,Manual,21.79,89,4.5,220.3761364
Maruti Suzuki,Fronx,Delta 1.2L AGS,1197,Petrol,8.9,Automatic (AMT),22.89,89,4.5,228.9
Maruti Suzuki,Fronx,Delta Plus (O) 1.2L MT,1197,Petrol,8.96,Manual,21.79,89,4.5,216.4408482
Maruti Suzuki,Fronx,Delta Plus 1.2L AGS,1197,Petrol,9.3,Automatic (AMT),22.89,89,4.5,219.0548387
Maruti Suzuki,Fronx,Delta 1.2 CNG,1197,CNG,9.35,Manual,28.51,76,4.5,231.7390374
Maruti Suzuki,Fronx,Delta Plus (O) 1.2L AGS,1197,Petrol,9.46,Automatic (AMT),22.89,89,4.5,215.3498943
Maruti Suzuki,Fronx,Delta Plus 1.0 Turbo MT,998,Petrol,9.75,Manual,21.5,99,4.5,218.3076923
Maruti Suzuki,Fronx,Zeta 1.0L Turbo MT,998,Petrol,10.58,Manual,21.5,99,4.5,201.1814745
Maruti Suzuki,Fronx,Alpha 1.0L Turbo MT,998,Petrol,11.5,Manual,21.5,99,4.5,185.0869565
Maruti Suzuki,Fronx,Alpha 1.0L Turbo MT Dual Tone,998,Petrol,11.66,Manual,21.5,99,4.5,182.5471698
Maruti Suzuki,Fronx,Zeta 1.0L Turbo 6 AT,998,Petrol,11.98,Automatic (TC),20.01,99,4.5,165.3580968
Maruti Suzuki,Fronx,Alpha 1.0L Turbo 6 AT,998,Petrol,12.9,Automatic (TC),20.01,99,4.5,153.5651163
Maruti Suzuki,Fronx,Alpha 1.0L Turbo 6 AT Dual Tone,998,Petrol,13.06,Automatic (TC),20.01,99,4.5,151.6837672
Maruti Suzuki,Brezza,LXi,1462,Petrol,8.69,Manual,17.8,99,4.5,202.7848101
Maruti Suzuki,Brezza,LXi S-CNG,1462,CNG,9.64,Manual,25.51,87,4.5,230.2251037
Maruti Suzuki,Brezza,VXi,1462,Petrol,9.75,Manual,17.8,99,4.5,180.7384615
Maruti Suzuki,Brezza,VXi S-CNG,1462,CNG,10.7,Manual,25.51,87,4.5,207.417757
Maruti Suzuki,Brezza,Vxi AT,1462,Petrol,11.15,Automatic (TC),19.8,99,4.5,175.8026906
Maruti Suzuki,Brezza,ZXi,1462,Petrol,11.26,Manual,19.89,102,4.5,180.1758437
